Player,From,To,Pos,Ht,Wt,Birth Date,College
Kedrick Brown\brownke01,2002,2005,G,6-7,222,March 18 1981,Okaloosa-Walton Community College
Kwame Brown\brownkw01,2002,2013,F,6-11,270,March 10 1982,
Larry Brown*\brownla01,1968,1972,G,5-9,160,September 14 1940,University of North Carolina
Leon Brown\brownle01,1947,1947,F,6-3,190,October 12 1919,University of Wyoming
Lewis Brown\brownle02,1981,1981,C,6-11,225,February 19 1955,University of Nevada Las Vegas
Lorenzo Brown\brownlo01,2014,2016,G,6-5,189,August 26 1990,North Carolina State University
Marcus Brown\brownma01,1997,2000,G,6-3,185,April 3 1974,Murray State University
Markel Brown\brownma02,2015,2016,G,6-3,190,January 29 1992,Oklahoma State University
Mike Brown\brownmi01,1987,1997,C-F,6-9,257,July 19 1963,George Washington University
Myron Brown\brownmy01,1992,1992,G,6-3,180,November 3 1969,Slippery Rock University of Pennsylvania
P.J. Brown\brownpj01,1994,2008,F-C,6-11,225,October 14 1969,Louisiana Tech University
Randy Brown\brownra02,1992,2003,G,6-2,190,May 22 1968,New Mexico State University
Raymond Brown\brownra01,1990,1990,F,6-8,220,July 5 1965,University of Idaho
Rickey Brown\brownri01,1981,1985,C-F,6-10,215,August 20 1958,Mississippi State University
Roger Brown*\brownro01,1968,1975,F-G,6-5,205,May 22 1942,University of Dayton
Roger Brown\brownro02,1973,1980,C,6-11,225,February 23 1950,University of Kansas
Shannon Brown\brownsh01,2007,2015,G,6-4,205,November 29 1985,Michigan State University
Stan Brown\brownst01,1948,1952,F,6-3,200,June 27 1929,
Tierre Brown\brownti01,2002,2005,G,6-2,189,June 3 1979,McNeese State University
Tony Brown\brownto01,1985,1992,F-G,6-6,185,July 29 1960,University of Arkansas
Jim Browne\brownji01,1949,1950,C,6-10,235,January 1 1930,
Stanley Brundy\brundst01,1990,1990,F,6-6,210,November 13 1967,DePaul University
Brian Brunkhorst\brunkbr01,1969,1969,F,6-6,208,June 12 1945,Marquette University
George Bruns\brunsge01,1973,1973,G,6-0,160,August 30 1946,Manhattan College
Rick Brunson\brunsri01,1998,2006,G,6-4,190,June 14 1972,Temple University
Nicolas Brussino\brussni01,2017,2017,G-F,6-7,195,March 2 1993,
Em Bryant\bryanem01,1965,1972,G,6-1,175,November 4 1938,DePaul University
Joe Bryant\bryanjo01,1976,1983,F-C,6-9,185,October 19 1954,La Salle University
Kobe Bryant\bryanko01,1997,2016,G-F,6-6,212,August 23 1978,
Mark Bryant\bryanma01,1989,2003,F-C,6-9,245,April 25 1965,Seton Hall University
Wallace Bryant\bryanwa01,1984,1986,C,7-0,245,July 14 1959,University of San Francisco
Torgeir Bryn\brynto01,1990,1990,C,6-9,250,August 8 1964,Texas State University
George Bucci\buccige01,1976,1976,G,6-3,200,July 9 1953,Manhattan College
Joe Buckhalter\buckhjo01,1962,1963,F,6-7,210,August 1 1937,Tennessee State University
Steve Bucknall\bucknst01,1990,1990,G,6-6,215,March 17 1966,University of North Carolina
Cleveland Buckner\buckncl01,1962,1963,F-C,6-9,210,August 17 1938,Jackson State University
Greg Buckner\buckngr01,2000,2009,G,6-4,210,September 16 1976,Clemson University
Quinn Buckner\bucknqu01,1977,1986,G,6-3,190,August 20 1954,Indiana University
Dave Budd\buddda01,1961,1965,F,6-6,205,October 28 1938,Wake Forest University
Chase Budinger\budinch01,2010,2016,F,6-7,209,May 22 1988,University of Arizona
Walt Budko\budkowa01,1949,1952,F-C,6-5,220,July 30 1925,Columbia University
Jud Buechler\buechju01,1991,2002,F-G,6-6,220,June 19 1968,University of Arizona
Rodney Buford\buforro01,2000,2005,G-F,6-5,189,November 2 1977,Creighton University
Matt Bullard\bullama01,1991,2002,F,6-10,215,June 5 1967,University of Iowa
Reggie Bullock\bullore01,2014,2017,G-F,6-7,205,March 16 1991,University of North Carolina
Larry Bunce\buncela01,1968,1969,C,7-0,240,July 29 1945,Utah State University
Greg Bunch\bunchgr01,1979,1979,F,6-6,190,May 15 1956,California State University Fullerton
Dick Bunt\buntdi01,1953,1953,G,6-0,170,July 13 1930,New York University
Bill Buntin\buntibi01,1966,1966,C-F,6-7,250,May 5 1942,University of Michigan
Bill Bunting\buntibi02,1970,1972,F-C,6-8,200,August 26 1947,University of North Carolina
Ticky Burden\burdeti01,1976,1978,G,6-2,185,February 28 1953,University of Utah
Pat Burke\burkepa01,2003,2007,C-F,6-11,250,December 14 1973,Auburn University
Trey Burke\burketr01,2014,2017,G,6-1,191,November 12 1992,University of Michigan
Roger Burkman\burkmro01,1982,1982,G,6-5,175,May 22 1958,University of Louisville
Alec Burks\burksal01,2012,2017,G,6-6,214,July 20 1991,University of Colorado
Antonio Burks\burksan01,2005,2006,G,6-1,200,February 25 1980,University of Memphis
Kevin Burleson\burleke01,2006,2006,G,6-3,205,April 9 1979,University of Minnesota
Tom Burleson\burleto01,1975,1981,C,7-2,225,February 24 1952,North Carolina State University
Jack Burmaster\burmaja01,1950,1950,G,6-3,190,December 23 1926,University of Illinois at Urbana-Champaign
David Burns\burnsda01,1982,1982,G,6-2,180,July 3 1958,Saint Louis University
Evers Burns\burnsev01,1994,1994,F,6-8,260,August 24 1971,University of Maryland
Jim Burns\burnsji01,1968,1968,G,6-3,195,September 21 1945,Northwestern University
Scott Burrell\burresc01,1994,2001,G-F,6-7,218,January 12 1971,University of Connecticut
Art Burris\burriar01,1951,1952,F,6-5,220,April 7 1924,University of Tennessee
Junior Burrough\burroju01,1996,1996,F,6-8,242,January 18 1973,University of Virginia
Bob Burrow\burrobo01,1957,1958,C-F,6-7,228,June 29 1934,University of Kentucky
Ed Burton\burtoed01,1962,1965,F,6-6,225,August 13 1939,Michigan State University
Willie Burton\burtowi01,1991,1999,F-G,6-8,210,May 26 1968,University of Minnesota
Steve Burtt\burttst01,1985,1993,G,6-2,185,November 5 1962,Iona College
Don Buse\busedo01,1973,1985,G,6-4,190,August 10 1950,University of Evansville
David Bustion\bustida01,1973,1973,F,6-8,215,August 30 1949,University of Denver
Donnie Butcher\butchdo01,1962,1966,G,6-2,200,February 8 1936,Pikeville College
Al Butler\butleal01,1962,1965,G,6-2,175,July 9 1938,Niagara University
Caron Butler\butleca01,2003,2016,F,6-7,228,March 13 1980,University of Connecticut
Greg Butler\butlegr01,1989,1991,C,6-11,240,March 11 1966,Stanford University
Jackie Butler\butleja01,2005,2007,F-C,6-10,250,March 10 1985,
Jimmy Butler\butleji01,2012,2017,G-F,6-7,220,September 14 1989,Marquette University
Mike Butler\butlemi01,1969,1972,G,6-2,170,October 22 1946,University of Memphis
Mitchell Butler\butlemi02,1994,2004,G-F,6-5,210,December 15 1970,University of California Los Angeles
Rasual Butler\butlera01,2003,2016,F-G,6-7,215,May 23 1979,La Salle University
Dwight Buycks\buyckdw01,2014,2015,G,6-3,190,March 6 1989,Marquette University
Derrick Byars\byarsde01,2012,2012,F,6-7,220,April 25 1984,Vanderbilt University
Andrew Bynum\bynuman01,2006,2014,C,7-0,285,October 27 1987,
Will Bynum\bynumwi01,2006,2015,G,6-0,185,January 4 1983,Georgia Institute of Technology
Walter Byrd\byrdwa01,1970,1970,F,6-7,205,,Temple University
Marty Byrnes\byrnema01,1979,1983,F,6-7,215,April 30 1956,Syracuse University
Tommy Byrnes\byrneto01,1947,1951,F-G,6-3,175,February 19 1923,Seton Hall University
Michael Bytzura\bytzumi01,1947,1947,F,6-1,170,June 18 1922,Long Island University
